Net Status Report
Filename     : E:\Work\hardware\MyBoard\core\MYBOARD.PcbDoc
Date         : 2017/5/6
Time         : 20:18:20
Time Elapsed : 00:00:01

Nets, Layer, Length
    SPEED 100M#, Signal Layers Only, 0mils
    SPI1_MISO, Signal Layers Only, 0mils
    SPI1_MOSI, Signal Layers Only, 0mils
    SPI1_SCK, Signal Layers Only, 0mils
    SPI2_MISO, Signal Layers Only, 0mils
    SPI2_MOSI, Signal Layers Only, 0mils
    SPI2_SCK, Signal Layers Only, 0mils
    TCK, Signal Layers Only, 0mils
    TDI, Signal Layers Only, 0mils
    TDO, Signal Layers Only, 0mils
    TF_CS#, Signal Layers Only, 0mils
    TMS, Signal Layers Only, 0mils
    TP_CS#, Signal Layers Only, 108mils
    TP_INT#, Signal Layers Only, 329.313mils
    TRST#, Signal Layers Only, 0mils
    TURN_T1, Signal Layers Only, 0mils
    TURN_T2, Signal Layers Only, 0mils
    TX+, Signal Layers Only, 0mils
    TX-, Signal Layers Only, 0mils
    TXD0, Signal Layers Only, 0mils
    TXD1, Signal Layers Only, 0mils
    TX_EN, Signal Layers Only, 0mils
    U3_RX, Signal Layers Only, 0mils
    U3_TX, Signal Layers Only, 0mils
    UD+, Signal Layers Only, 0mils
    UD-, Signal Layers Only, 0mils
    USB_HOST_PWR#, Signal Layers Only, 483.042mils
    USB_OTG_VBUS, Signal Layers Only, 467.587mils
    VBAT, Signal Layers Only, 0mils
    VCCUSB, Signal Layers Only, 1739.718mils
    WR#, Signal Layers Only, 162.735mils
    XI, Signal Layers Only, 0mils
    XO, Signal Layers Only, 0mils
count : 174
